channel_id,name,subject,difficulty,tags,avg_duration,video_count,playlists,notes
17,Kenan Kara,Geometri,Orta,"konu anlatımı; PDF'li; güncel tekrar; deneme çözümü",30,730,"Geometri Konu Anlatımı; Deneme Çözümleri; Sıfırdan TYT Geometri","Videoların açıklamasında PDF mevcut; 10–45 dk arası süreler; geniş arşiv."
18,Merkeze Teğet İlhan Hoca,Geometri,Orta,"AYT odaklı; PDF'li; kamp; düzenli",40,41,"TYT Geometri Konu Anlatımı; TYT–AYT Geometri Kampı","TYT listesi ~41 video; 35–45 dk; kamp listelerinde ~20 video; düzenli PDF."
19,Eyüp B Matematik,Geometri,Başlangıç,"yeni nesil + klasik; soru çözümü; PDF seti",25,103,"Geometri Konu Anlatımı; ÖSYM Tarzı Çözümler","Video açıklamalarında toplu PDF; 10–40 dk; temel güçlendirmeye uygun."
20,Benim Hocam,Geometri,Orta,"konu anlatımı; uzun videolar; düzenli liste",30,65,"TYT–AYT Geometri Konu Anlatımı; 2022 YKS Geometri","20–40 dk videolar; geniş örnek çözümleri; düzenli oynatma listeleri."
21,Matematiğin Güler Yüzü,Geometri,Orta,"öğrenme garantili; pratik tekrar; taktik",15,1000,"Öğrenme Garantili; Hızlı Tekrar","Ek kaynağa gerek olmadan pratik odaklı içerikler; not çıkararak takip önerilir."
22,Nurtaç Hoca,Geometri,Başlangıç,"soru çözümü; esprili anlatım; kısa videolar",3,74,"Beginner Geometri; Soru Çözüm Serileri","Konu anlatımı az; 1–3 dk kısa çözümler; ayrıca ~46 videoluk ayrı çözüm listesi mevcut."
23,Mert Hoca,Geometri,Orta,"kamp; full tekrar; kaynak uyumlu",30,96,"TYT–AYT Geometri Kamp; Geometri Full Tekrar","Ortalama 30–35 dk; 2023–2024 kamp güncel; konu anlatım + tekrar kombinasyonu."
24,Matematiğin Fatihi,Geometri,İleri,"soru çözümü; seçici kaynaklar; hızlı",4,135,"ÖSYM Tarzı Problemler; Kısa Tekrar","Zor-seçici sorular; video başlıkları net; 3–6 dk kısa çözüm videoları ağırlıkta."

25,Altuğ Güneş,Fizik,Orta,"kamp; konu anlatımı; soru çözümü; PDF'li; yeni nesil",40,338,"57 Günde TYT Fizik Kampı; AYT 11.–12. Sınıf Konu Anlatım; 60 Günde TYT Fizik; TYT Fizik Denemeleri","TYT’de sıfırdan başlayıp AYT tekrar/çözüm düzeyine kadar geniş kapsam; videolar 20–60 dk."
26,VIP Fizik,Fizik,Orta,"PDF'li; kamp; tekrar; konu anlatımı; deneme çözümü",30,600,"2023 TYT Fizik Kampı; 245 Videoluk Tüm Konular; AYT/TYT ÇEKAP; 1 Konu 5 Soru; ÖSYM Nerede Nereye","Bilgisayarda hazırlanmış düzenli PDF’ler; geniş ve güncel arşiv; TYT–AYT için sistematik listeler."
27,Benim Hocam – Fizikle Barış,Fizik,Orta,"uzun konu anlatımı; ders defteri; kamp tekrar",30,120,"2023 AYT Fizik Ders Anlatımı; TYT Fizik Konu Anlatım; Video Ders Defteri","Yaklaşık 30 dk videolar; konu anlatımı sonrası bol soru çözümü; düzenli oynatma listeleri."
28,Fizikle Barış,Fizik,Orta,"kamp; kısa-orta videolar; temel→ileri",20,120,"2023 TYT Konu Anlatımı; 2023 AYT Video Serisi; Sorularla Tekrar Kampı","10–30 dk videolar; MEB/sınav odaklı; seri ve tekrar listeleri."
29,Fizikfinito,Fizik,Başlangıç,"MEB odaklı; kısa ve öz; PDF'li; hızlı tekrar",12,200,"Deneylerle Fizik 2023; Hızlı Tekrar Serileri; 4 Saate AYT; Kavramlarla TYT 2022","Az ve öz anlatım; 16–35 saatte sıfırdan tekrar konsepti; PDF’ler düzenli paylaşılıyor."
30,Ertan Sinan Şahin,Fizik,Orta,"derin anlatım; deneme çözümü; konu+pratik",25,465,"Konu Anlatımları; Deneme Çözümleri; ÖSYM Tarzı Problemler","Kavram vurgusu güçlü; yayınlı denemelerle uyumlu içerikler."
31,Umut Öncül,Fizik,Orta,"kapsamlı oynatma; konu + soru çözümü",30,563,"TYT Fizik 2023 (266 video); AYT Fizik 2023 (297 video)","20–40 dk videolar; sistematik ve uzun listeler."
32,Özcan Aykın,Fizik,Orta,"AYT odaklı; zor tipler; deneme çözümü; PDF'li",20,308,"AYT Fizik Denemeleri; 1 Soru 1000 Detay; TYT–AYT Konu Anlatımları","Özellikle AYT’de özgün soru tipleri; 9–12. sınıf PDF’li konu anlatımları ve çözümler."

33,Kimya Köyü,Kimya,Orta,"konu anlatımı; deneme/soru çözümü; PDF'li; MEB uyumlu",30,170,"TYT Ünite Listeleri; AYT Ünite Listeleri; 3D & TYT–AYT Çözümleri; MEB Tekrar Testleri","Orta–zor düzey ayrıntılı çözümler; 2018’den beri güncellenen geniş arşiv."
34,Kimyacı Hasan Hoca,Kimya,Orta,"kaynak uyumlu; yeni nesil; detaylı çözüm; PDF’li",20,90,"Yeni Nesil ÖSYM Tarzı; AYT Deneme Çözümleri; Paraf/Palme/Aydın Uyumlu","Soruyu önce analiz edip sonra çözen anlatım; başlangıç–orta için uygun."
35,Ortaöğretim Genel Müdürlüğü,Kimya,Orta,"MEB müfredat; konu+çözüm; PDF’li; interaktif",25,200,"TYT–AYT Konu Anlatımları; Deneme/Çıkmış Soru Çözümleri; Haftalık Program","Resmi ve güncel içerik; tüm dokümanlar PDF; TYT–AYT için tam kapsama yakın."
36,Tonguç Kampüs Sayısal,Kimya,Başlangıç,"kamp; konu anlatımı; PDF’li; hızlı tekrar",20,200,"TYT–AYT Kimya Konu; Hızlandırılmış Kamp; Sınav Tekrar Listeleri","Sıfırdan başlayanlar için düzenli ve kısa/orta videolarla pratik ilerleme."
37,Hocalara Geldik,Kimya,Orta,"konu anlatımı; soru çözümü; pratik teknikler",15,180,"TYT Kimya; AYT Kimya; Soru Çözüm Serileri","Temel→orta seviye akış; özet + ipuçları ile pekiştirme odaklı."
38,Kimya Adası,Kimya,Orta,"özel ders tadında; sınıf sınıf; kamp; taktik",15,883,"TYT–AYT Konu Anlatımı; 6 Günde TYT; 10 Günde AYT; Kamp Plus","Detaylı analiz ve sınıfa göre listeler; güncel kamp videoları bol."
39,Benim Hocam (Görkem Şahin),Kimya,Orta,"konu anlatımı; güncel; kitap entegre; tekrar",20,160,"2023 TYT–AYT Konu Anlatımı; TYT Kimya Kamp; Full Tekrar","Güncel seriler ve entegre kitaplar; TYT+AYT için düzenli anlatım."

40,Selin Hoca,Biyoloji,Orta,"konu anlatımı; Limit uyumlu; tablet yazım; düzenli seri",30,126,"Özel Ders Konsept TYT (58); Özel Ders Konsept AYT (68); Soru Bankası Çözümleri","Sanki sınıfta anlatım gibi; 2022 çekim; sıfırdan ileriye taşıyabilir."
41,Fundamentals,Biyoloji,Orta,"kitap uyumlu; kısa videolar; simülasyon; farklı seriler",12,421,"TYT Konu (194); AYT Eski (227); AYT Yeni (121); Anlamayan Kalmasın; Bir Tutam Biyoloji","Düzenli ve kısa anlatım; farklı tarzlarda pekiştirme listeleri."
42,Senin Biyolojin,Biyoloji,Orta,"çok seri; web PDF; animasyon; kısa içerikler",20,180,"TYT 2023 Seri (57); AYT 2023 Seri (57); Biyoloji Kısa Bilgiler; Podcast/Sesli Kayıtlar","Geniş seri yelpazesi ve güncel içerikler; konuya özel listeler."
43,Biossem,Biyoloji,Orta,"PDF’li notlar; konu+deneme; analiz odaklı",25,239,"TYT 2023 (203); AYT 2023 (36); Yazılı Notlar; Deneyimler","Web destekli ayrıntılı anlatım; düzenli ve uzun seriler."
44,Dr. Biyoloji,Biyoloji,İleri,"moleküler biyoloji; kavramsal derinlik; kitap uyumlu",15,96,"TYT Konu (38); AYT Konu (58); KR Akademi Uyumlu","Mantık temelli, yoğun içerik; ileri seviye hedefleyenler için uygun."
45,Bekir Avşar,Biyoloji,Orta,"rehberlik; motivasyon; sistemler net; tekrar",20,80,"TYT Biyoloji Serisi (33); AYT Sistemler (24); Tekrar Serileri","Sade ve net anlatım; önemli noktaları pekiştirmeye yönelik listeler."

46,Benim Hocam (Sadettin Akyayla),Tarih,Orta,"beyaz tahta; konu anlatımı; özet+yorum; düzenli seri",30,51,"2023 TYT Tarih; 2024 güncelleme (plan)","20–30 dk videolar; bilgi yoğun ama akıcı."
47,Onur Gece,Tarih,Orta,"kısa ve öz; animasyon/müzik; detaylı",20,60,"TYT Tarih Konu Anlatımı","15–30 dk arası; eğlenceli ama bilgilendirici üslup."
48,Tonguç Kampüs (Sözel),Tarih,Orta,"kamp; konu anlatımı; soru çözümü; görsel slayt",30,25,"TYT Tarih Kampı; Soru Çözümleri","ÖSYM’ye yakın slaytlar; 25–40 dk videolar."
49,Hocalara Geldik,Tarih,Orta,"iki eğitmen; örnekli anlatım; kısa dersler",12,177,"TYT–AYT karışık; Konu tekrarları","10–15 dk videolar; 2022 listesiyle çalışılabilir."

50,Benim Hocam (Bayram Meral),Coğrafya,Orta,"slayt; harita ağırlık; konu+çözüm; güncel",40,40,"2023 TYT Coğrafya; Konu Anlatımı","Harita odaklı anlatım; 2024 güncelleme bekleniyor."
51,Yavuz Tuna,Coğrafya,Orta,"analiz/yorum; haritalı; akıcı anlatım",18,200,"Konu Anlatımları; Tekrar Serileri","15–20 dk videolar; akıcı ve örnekli üslup."
52,Tonguç Kampüs,Coğrafya,Orta,"kamp; slayt; örnek sorular; düzenli",30,25,"TYT Coğrafya Kampı (Yavuz Tuna & Alican)","Videolar sonunda ödüllü sorular; ~25 video."
53,Hocalara Geldik,Coğrafya,Orta,"kısa ve öz; örnekli anlatım; tekrar",30,30,"TYT Coğrafya 2022","Hazırlı notlar üstünden; ~30 dk videolar."
54,Coğrafya Cepte,Coğrafya,Orta,"uzman kanal; detaylı ve anlaşılır; slayt",30,50,"2023 TYT Coğrafya","Haritalı, net anlatım; ~30 dk videolar."

55,Benim Hocam (Can Köni),Felsefe,Orta,"akıcı anlatım; sınav odaklı; örnekli",30,26,"2023 TYT Felsefe","Net ve anlaşılır; soru odaklı yorumlar."
56,Hocalara Geldik,Felsefe,Orta,"kısa içerik; filozof/kavram; özet",30,26,"2022 TYT Felsefe","Önemli filozoflar ve kavramlar; kısa videolar."
57,KR Akademi,Felsefe,Orta,"kısa videolar; filozof/kavram; pekiştirme",30,26,"2022 TYT Felsefe","Örneklerle kavram pekiştirme; düzenli liste."

58,Benim Hocam (Enise Özdemir),Din Kültürü ve Ahlak Bilgisi,Orta,"slayt; hikayeleştirme; sınav uyumlu",18,39,"2022 TYT Din Kültürü","15–20 dk videolar; ders defteriyle uyumlu."
59,Sosyal Hocam,Din Kültürü ve Ahlak Bilgisi,Orta,"slayt; özet; güncel 2023",18,9,"2023 TYT Din Kültürü","Kısa ve anlaşılır; 15–20 dk."
60,Emre Yürük,Din Kültürü ve Ahlak Bilgisi,Başlangıç,"temel kavramlar; tekrar; seri çalışma",20,24,"2023 TYT Din","Haftalık düzenli seri; ~20 dk videolar."
